Where is my pencil? It's on the table.	わたしの鉛筆はどこにありますか？ テーブルの上にあります。
Where does she live? She lives in Tokyo.	彼女はどこに住んでいますか？ 東京に住んでいます。
Where do they play soccer?  They play it in the park.	彼らはどこでサッカーをしますか？ 公園でします。
When is next holiday? It's January 1.	次の祝日はいつですか？ 1月1日です。
When do you watch TV?  I watch TV after lunch.	あなたはいつテレビを見ますか？ わたしは昼食後にテレビを見ます。
When does he study English?  He study it on Sunday.	彼は英語をいつ勉強しますか？ 彼は日曜に勉強します。
What sports do you play?  I play tennis.	あなたは何のスポーツをしますか？ わたしはテニスをします。
What food do you like?  I like sushi.	あなたは食べ物は何が好きですか？ わたしは寿司が好きです。
What book does she read?  She read a novel.	彼女は何の本を読みますか？ 彼女は小説を読みます。
What is that? It is dango.	あれは何ですか？ それは団子です。
What do you have? I have a pen.	あなたは何を持っていますか？ わたしはペンを持っています。
Who are they? They are farmers.	彼らはだれですか？ 彼らは農家です。
Who has the ball?  Ken does.	だれがボールを持っていますか？ ケンが持っています。
Who has the ball?  Mike and Emi do.	誰がボールを持っていますか？ マイクとエミが持っています。
Who is he? He is Tom.	彼は誰ですか？ 彼はトムです。
Where is her bag?	彼女のカバンはどこですか？
Where do you go?	あなたはどこへ行きますか？
Where does he live?	彼はどこに住んでいますか？
When is your birthday?	あなたの生まれた日はいつですか？
When do we meet next?	わたしたちは次にいつ会いますか？
When does she sing?	彼女はいつ歌いますか？
What is this?	これは何ですか？
What do they like?	彼らは何が好きですか？
Who is she?	彼女はだれですか？
Who are you?	あなたたちは誰ですか？
Who plays the piano?	だれがピアノをひいていますか？
Whose book is this?	これはだれの本ですか？
Whose pen is that?	あれはだれのペンですか？
Whose camera is that? It is mine.	あれはだれのペンですか？ それは私のものです。
Whose house is this? It is yours.	これはだれのペンですか？ それはあなたのものです。
Whose jacket is this? It is his.	あれはだれのジャケットですか？ それは彼のものです。
Whose bike is this? It is his.	あれはだれのジャケットですか？ それは彼のものです。
Whose ball is this? It is theirs.	これはだれのボールですか？ それは彼らのものです。
Whose erasers are those?	あれらはだれの消しゴムですか？
Whose flowers are these?	これらはだれの花ですか？
Whose cats are those? They are ours.	あれらはだれのネコですか？ それは私たちのネコです。
Whose cars are these? They are yours.	これらはだれの車ですか？ それはあなたたちのものです。
Whose dog does she walk every morning?	彼女は毎朝だれの犬を散歩しますか？
Whose pen does it write smoothly?	だれのペンがスムーズに書けますか？
Whose laptop does he use for work?	彼は仕事でだれのラップトップを使っていますか？
Whose laptop does she use for game? It's her mother's.	彼女はだれのラップトップをゲームで使っていますか？ 母親のものです。
Whose car does he drive? He drives mine.	彼はだれの車を運転しますか？ 私のものを運転します。
Whose bags do you have? I have theirs.	あなたは誰のバッグを持っていますか？ 彼女らのものを持っています。
You can speak English well.	あなたは英語をうまく話せます。
She can play the piano.	彼女はピアノをひけます。
He can cook hamburger.	彼はハンバーガーを作れます。
You can run fast.	あなたは早く走れます。
Dogs can not play tennis.	犬はテニスができません。
I can not eat lemons.	わたしはレモンを食べられません。
We can't use this house.	わたしたちはこの家を使えません。
Cats can't sing a song.	ネコは歌を歌えません。
Can I play baseball here? Yes, you can.	わたしたちはここで野球ができますか？ はい、できます。
Can he speak English? No, he can not.	彼は英語を話せますか？ いいえ、できません。
Can you take a picture? No, I can't.	あなたは写真が取れますか？ いいえ、できません。
Can I play baseball here?	わたしたちはここで野球ができますか？
Can he speak English?	彼は英語を話せますか？
Can you take a picture?	あなたは写真が取れますか？
What can you cook? I can cook rice ball.	あなたはどんな料理ができますか？ わたしはおにぎりを作れます。
Where can we play soccer? In the park.	わたしたちはどこでサッカーができますか？ 公園でできます。
When can she come ? 5 o'clock.	彼女はいつ来ることができますか？ 5時です。
Who can run fast? Ken can.	だれが早く走れますか？
Why can birds fly? Because birds have wings.	鳥はなぜ飛べるのですか？ 鳥にはつばさがあるからです。
How many eggs can he eat? Forty.	彼はタマゴをいくつ食べられますか？ 40こです。
