Are you Tom? Yes, I am.	あなたはトムですか？ はい、そうです。
Are you from Shimane? No, I am not.	あなたは島根から来ましたか？ いいえ、違います。
Are you a baseball fan? No, I am not.	あなたは野球ファンですか？ いいえ、違います。
Are you Mike? No, I'm not.	あなたはマイクですか？ いいえ、違います。
Are you from Gifu? Yes, I'm.	あなたは岐阜から来ましたか？ はい、そうです。
Are you a farmer? Yes, I'm.	あなたは農家ですか？ はい、そうです。
Are you Kate?	あなたはケイトですか？
Are you from Okinawa?	あなたは沖縄から来ましたか？
Are you a singer?	あなたは歌手ですか？
Is this a pen? Yes, it is.	これはペンですか？ はい、そうです。
Is that a taxi? Yes, it is.	あれはタクシーですか？ はい、そうです。
Is it a bread? Yes, it is.	それはパンですか？ はい、そうです。
Is that a cookie? No, it's a dango.	あれはクッキですか？ いいえ、それは団子です。
Is this a computer? No, it's a TV.	これはコンピュータですか？ いいえ、それはテレビです。
Is it a butter? No, it's a cheese.	それはバターですか？ いいえ、それはチーズです。
Is this a carrot? No, it's not.	これはニンジンですか？ いいえ、違います。
Is that a meat? No, it is not.	あれは肉ですか？ いいえ、違います。
Is it an egg? No, it is not.	それはタマゴですか？ いいえ、違います。
Is this a pig?	これはブタですか？
Is that a bee?	あれはハチですか？
Is that an orange?	あれはオレンジですか？
Is this an apple?	これはりんごですか？
Is that Canada?	あれはカナダですか？
Is this Taiwan?	これは台湾ですか？
Is he a softball player? Yes, he is.	彼はソフトボール選手ですか？ はい、そうです。
Is she a boxing fan? Yes, she is.	彼女はボクシングのファンですか？ はい、そうです。
Is he a golfer? No, he is not.	彼はゴルファーですか？ いいえ、違います。
Is she a surfer? No, she is not.	彼女はサーファーですか？ いいえ、違います。
Is he a doctor? No, he's not.	彼は医者ですか？ いいえ、違います。
Is she a nurse? No, she's not.	彼女はナースですか？ いいえ、違います。
Is he a prince? No, he isn't.	彼は王子ですか？ いいえ、違います。
Is she a princess? No, she isn't.	彼女は王女ですか？ いいえ、違います。
Is he a dancer?	彼はダンサーですか？
Is she a teacher?	彼女は先生ですか？
Is he Mike?	彼はマイクですか？
Is she Miku?	彼女はミクですか？
