Where is my pencil? It's on the table.	わたしの鉛筆はどこにありますか？ テーブルの上にあります。
Where does she live? She lives in Tokyo.	彼女はどこに住んでいますか？ 東京に住んでいます。
Where do they play soccer?  They play it in the park.	彼らはどこでサッカーをしますか？ 公園でします。
When is next holiday? It's January 1.	次の祝日はいつですか？ 1月1日です。
When do you watch TV?  I watch TV after lunch.	あなたはいつテレビを見ますか？ わたしは昼食後にテレビを見ます。
When does he study English?  He study it on Sunday.	彼は英語をいつ勉強しますか？ 彼は日曜に勉強します。
What sports do you play?  I play tennis.	あなたは何のスポーツをしますか？ わたしはテニスをします。
What food do you like?  I like sushi.	あなたは食べ物は何が好きですか？ わたしは寿司が好きです。
What book does she read?  She read a novel.	彼女は何の本を読みますか？ 彼女は小説を読みます。
What is that? It is dango.	あれは何ですか？ それは団子です。
What do you have? I have a pen.	あなたは何を持っていますか？ わたしはペンを持っています。
Who are they? They are farmers.	彼らはだれですか？ 彼らは農家です。
Who has the ball?  Ken does.	だれがボールを持っていますか？ ケンが持っています。
Who has the ball?  Mike and Emi do.	誰がボールを持っていますか？ マイクとエミが持っています。
Who is he? He is Tom.	彼は誰ですか？ 彼はトムです。
Where is her bag?	彼女のカバンはどこですか？
Where do you go?	あなたはどこへ行きますか？
Where does he live?	彼はどこに住んでいますか？
When is your birthday?	あなたの生まれた日はいつですか？
When do we meet next?	わたしたちは次にいつ会いますか？
When does she sing?	彼女はいつ歌いますか？
What is this?	これは何ですか？
What do they like?	彼らは何が好きですか？
Who is she?	彼女はだれですか？
Who are you?	あなたたちは誰ですか？
Who plays the piano?	だれがピアノをひいていますか？
Whose book is this?	これはだれの本ですか？
Whose pen is that?	あれはだれのペンですか？
Whose camera is that? It is mine.	あれはだれのペンですか？ それは私のものです。
Whose house is this? It is yours.	これはだれのペンですか？ それはあなたのものです。
Whose jacket is this? It is his.	あれはだれのジャケットですか？ それは彼のものです。
Whose bike is this? It is his.	あれはだれのジャケットですか？ それは彼のものです。
Whose ball is this? It is theirs.	これはだれのボールですか？ それは彼らのものです。
Whose erasers are those?	あれらはだれの消しゴムですか？
Whose flowers are these?	これらはだれの花ですか？
Whose cats are those? They are ours.	あれらはだれのネコですか？ それは私たちのネコです。
Whose cars are these? They are yours.	これらはだれの車ですか？ それはあなたたちのものです。
Whose dog does she walk every morning?	彼女は毎朝だれの犬を散歩しますか？
Whose pen does it write smoothly?	だれのペンがスムーズに書けますか？
Whose laptop does he use for work?	彼は仕事でだれのラップトップを使っていますか？
Whose laptop does she use for game? It's her mother's.	彼女はだれのラップトップをゲームで使っていますか？ 母親のものです。
Whose car does he drive? He drives mine.	彼はだれの車を運転しますか？ 私のものを運転します。
Whose bags do you have? I have theirs.	あなたは誰のバッグを持っていますか？ 彼女らのものを持っています。
You can speak English well.	あなたは英語をうまく話せます。
She can play the piano.	彼女はピアノをひけます。
He can cook hamburger.	彼はハンバーガーを作れます。
You can run fast.	あなたは早く走れます。
Dogs can not play tennis.	犬はテニスができません。
I can not eat lemons.	わたしはレモンを食べられません。
We can't use this house.	わたしたちはこの家を使えません。
Cats can't sing a song.	ネコは歌を歌えません。
Can I play baseball here? Yes, you can.	わたしたちはここで野球ができますか？ はい、できます。
Can he speak English? No, he can not.	彼は英語を話せますか？ いいえ、できません。
Can you take a picture? No, I can't.	あなたは写真が取れますか？ いいえ、できません。
Can I play baseball here?	わたしたちはここで野球ができますか？
Can he speak English?	彼は英語を話せますか？
Can you take a picture?	あなたは写真が取れますか？
What can you cook? I can cook rice ball.	あなたはどんな料理ができますか？ わたしはおにぎりを作れます。
Where can we play soccer? In the park.	わたしたちはどこでサッカーができますか？ 公園でできます。
When can she come ? 5 o'clock.	彼女はいつ来ることができますか？ 5時です。
Who can run fast? Ken can.	だれが早く走れますか？
Why can birds fly? Because birds have wings.	鳥はなぜ飛べるのですか？ 鳥にはつばさがあるからです。
How many eggs can he eat? Forty.	彼はタマゴをいくつ食べられますか？ 40こです。
He cleaned a room.	彼は部屋を掃除しました。
I visited Kyoto yesterday.	わたしは昨日京都へ訪れました。
They helped an old man.	彼らは老人を助けました。
She lived in Tokyo.	彼女は東京に住んでいました。
We studied math yesterday.	わたしたちは昨日算数を勉強しました。
You liked cookies 10 years ago.	あなたは10年前クッキーが好きでした。
I dropped the money.	わたしはお金を落としました。
He tried hard last night.	彼は昨夜、一生けん命に挑戦しました。
My mother used a camera.	私の母はカメラを使いました。
Taro and Hanako looked the window.	太郎と花子は窓を見ました。
He did not clean a room.	彼は部屋を掃除しませんでした。
I did not visit Kyoto yesterday.	わたしは昨日京都を訪れませんでした。
They didn't help an old man.	彼らは老人を助けませんでした。
She didn't live in Tokyo.	彼女は東京に住んでいませんでした。
Did you study math yesterday?	あなたは昨日算数を勉強しましたか？
Did you like cookies?	あなたはクッキーが好きでしたか？
Did she open the door?	彼女はドアを開けましたか？
Did you drop the money? Yes, I did.	あなたはお金を落としましたか？ はい、落としました。
Did he try hard? No, he did not.	彼は一生けん命挑戦しましたか？ いいえ、挑戦していません。
Did you look this picture? No, we didn't.	あなたはこの写真を見ましたか？ いいえ、見ていません。
Who played the guitar? Jane did.	誰がギターをひきましたか？ ジェーンがひきました。
Where did you live?  I lived in Chiba.	あなたはどこに住んでいましたか？ 千葉に住んでいました。
What did you cook last night?  I cooked oden.	あなたは昨夜何を料理しましたか？ おでんを料理しました。
When did you start? 10 o'clock.	あなたはいつ始めましたか？ 10時です。
Who played the guitar?	だれがギターをひきましたか？
Where did you live?	あなたはどこに住んでいましたか？
What did he do on Sunday morning?	彼は日曜の朝に何をしていましたか？
When did you stay home?	あなたはいつ家にいましたか？
I was ten years old last year.	 わたしは去年10才でした。
He was in the bank two hours ago.	彼は2時間前、銀行にいました。
She was in the park yesterday.	彼女は昨日、公園にいました。
This cat was very cute.	このネコはとてもかわいかった。
You were busy weekend.	あなたは先週末、忙しかったです。
They were late for school yestarday.	彼らは昨日、学校に遅刻しました。
The questions were difficult.	その問題は難しかった。
I was not ten years old last year.	 わたしは去年10才でした。
He was not in the bank two hours ago.	彼は2時間前、銀行にいませんでした。
She wasn't in the park yesterday.	彼女は昨日、公園にいませんでした。
This cat was not cute.	このネコはかわいくなかった。
You were not busy weekend.	あなたは先週末、忙しくなかった。
They were not late for school yestarday.	彼らは昨日、学校に遅刻しませんでした。
The questions weren't not difficult.	その問題は難しくなかった。
Was I famous in this country?	わたしはこの国で有名でしたか？
Was he in the library? No he was not.	彼は図書館にいましたか？ いいえ、いませんでした。
Was your mother in the kitchen.	あなたのお母さんはキッチンにいましたか？
Was the movie interesting?	その映画は面白かったですか？
Were you in Okinawa in last week?	あなたは先週、沖縄にいましたか？
Were they busy yesterday?	彼らは昨日、忙しかったですか？
Were These books easy? Yes, they are.	この本はかんたんでしたか？ はい、かんたんでした。
I went to the library last week.	わたしは先週図書館へ行きました。
He made cookies for her.	彼は彼女のためにクッキーを作りました。
They took a bath.	彼らは風呂に入りました。
You saw the star last night.	あなたは昨夜星を見ました。
We bought the erasers.	わたしたちはその消しゴムを買いました。
I taught math in Japanese.	わたしは算数を日本語で教えました。
He knew the fact.	彼は真実を知っていました。
They met Tomoko yesterday.	彼らは昨日トモコと会いました。
You wrote a letter.	あなたは手紙を書きました。
I did not go to the library last week.	わたしは先週図書館へ行きませんでした。
He did not make cookies for her.	彼は彼女のためにクッキーを作りませんでした。
They didn't take a bath.	彼らは風呂に入りませんでした。
You didn't see the star last night.	あなたは昨夜星を見ませんでした。
Did he know the fact? Yes, he did.	彼は真実を知っていましたか？ はい、知っていました。
Did they meet Momo? No, they did not.	彼らはモモと会いましたか？ いいえ、会いませんでした。
Did you write a letter? No, I didn't.	あなたは手紙を書きましたか？ いいえ、書きませんでした。
Did he know the fact?	彼は真実を知っていましたか？
Did they meet Momo?	彼らはモモに会いましたか？
Did you write a letter?	あなたは手紙を書きましたか？
Who ran in the park? Sanae did.	だれが公園で走りましたか？サナエが走りました。
Where did you go? I went to the hospital.	あなたはどこへ行きましたか？ 病院へ行きました。
What did you take? I took this sandwich.	あなたは何を取りましたか？ サンドイッチを取りました。
When did you give that gift? Sunday morning.	あなたはいつあのプレゼントを渡しましたか？ 日曜の朝です。
